route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"99-11-r11-1","TA+b00k9","15.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b008i","151.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","152.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b008i","153.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","154.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b008i","155.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00a0","156.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b008i","157.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","158.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b008i","159.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00k9","16.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b00a0","160.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b008i","161.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","162.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b008i","163.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00a0","164.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b008i","165.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","166.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b008i","167.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","168.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","169.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00k9","17.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b00gl","170.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","171.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","172.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","173.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","174.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","175.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00a0","176.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","177.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","178.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","179.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00k9","18.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b00gl","180.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b00gl","181.TA.99-11-r11-1.2.O","99-11-r11-1.2.O","","0"
"99-11-r11-1","TA+b001e","19.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b0025","2.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b00k9","20.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b002c","200.TA.99-11-r11-1.3.I","99-11-r11-1.3.I","","1"
"99-11-r11-1","TA+b00kt","201.TA.99-11-r11-1.3.I","99-11-r11-1.3.I","","1"
"99-11-r11-1","TA+b00ke","202.TA.99-11-r11-1.3.I","99-11-r11-1.3.I","","1"
"99-11-r11-1","TA+b00kt","203.TA.99-11-r11-1.3.I","99-11-r11-1.3.I","","1"
"99-11-r11-1","TA+b00nw","204.TA.99-11-r11-1.3.I","99-11-r11-1.3.I","","1"
"99-11-r11-1","TA+b00kt","205.TA.99-11-r11-1.3.I","99-11-r11-1.3.I","","1"
"99-11-r11-1","TA+b00k9","206.TA.99-11-r11-1.3.I","99-11-r11-1.3.I","","1"
"99-11-r11-1","TA+b00kt","207.TA.99-11-r11-1.3.I","99-11-r11-1.3.I","","1"
"99-11-r11-1","TA+b00k9","208.TA.99-11-r11-1.3.I","99-11-r11-1.3.I","","1"
"99-11-r11-1","TA+b00k9","209.TA.99-11-r11-1.3.I","99-11-r11-1.3.I","","1"
"99-11-r11-1","TA+b001e","21.TA.99-11-r11-1.1.O","99-11-r11-1.1.O","","0"
"99-11-r11-1","TA+b00k9","210.TA.99-11-r11-1.3.I","99-11-r11-1.3.I","","1"
"99-11-r11-1","TA+b00k9","211.TA.99-11-r11-1.3.I","99-11-r11-1.3.I","","1"
"99-11-r11-1","TA+b00k9","212.TA.99-11-r11-1.3.I","99-11-r11-1.3.I","","1"
