stop_id,stop_name,stop_lat,stop_lon
"8220B1043301","Whitehall, stop 104331","53.3839299240584","-6.24362746185329"
"8220B1043501","Whitehall Garda Stn, stop 104351","53.3764271825814","-6.24990340378055"
"8220B1044901","St Peter's Church, stop 104491","53.3607634116462","-6.27662893147605"
"8220B1045001","Kempton Avenue, stop 104501","53.3715875372451","-6.33055102095511"
"8220B1045901","St Peter's Church, stop 104591","53.3608535465558","-6.27602429158865"
"8220B1046001","Mater Hospital, stop 104601","53.3596828024258","-6.26965602998248"
"8220B1046101","Merrion Row, stop 104611","53.3385331896367","-6.25480444135101"
"8220B1050001","College Street, stop 105001","53.3437835692223","-6.25920086271601"
"8220B1063801","RTE, stop 106381","53.314699735609","-6.22577420211834"
"8220B106401","Lesson Street Lower","53.3350196396912","-6.25608912424076"
"8220B106421","3Arena, stop 106421","53.3468793652799","-6.2289291585258"
"8220B10995","Heuston Station, stop 10995","53.3458575428206","-6.2938871484759"
"8220B111751","Walnut Rise, stop 111751","53.3601923329242","-6.27256522611864"
"8220B111761","Westland Row Church, stop 111761","53.3426262483916","-6.25013166583778"
"8220B111771","Irish Life, stop 111771","53.3491151352805","-6.25561891627049"
"8220B111781","Holles Street, stop 111781","53.3401450526898","-6.24765020084264"
"8220B123501","3Arena, stop 123501","53.3485294617751","-6.22686298017616"
"8220B123511","Convention Centre, stop 123511","53.3474610564409","-6.23968971942783"
"8220B123521","Jurys Hotel, stop 123521","53.3479814560861","-6.24695326829954"
"8220B123531","North Wall Quay, stop 123531","53.3479034788441","-6.24715173539026"
"8220B1262001","Harts Corner, stop 126201","53.3667962218707","-6.27240321889899"
"8220B134961","Dublin Busáras, stop 134961","53.3499127208211","-6.25238682003707"
"8220B1349701","Mountjoy Sq West, stop 134971","53.3563423559898","-6.25874910275863"
"8220B1349901","Parnell Square East, stop 134991","53.3536897591134","-6.26237252337879"
"8220B1350001","Busáras, stop 135001","53.3495807653085","-6.25181457561327"
"8220B1350201","DCU, stop 135021","53.3868888846355","-6.25663057318748"
"8220B1350301","Gardiner St Lower, stop 135031","53.3487549295222","-6.25495768638161"
"8220B1350501","O'Connel Street, stop 135051","53.3508391970006","-6.2604305249363"
"8220B1350801","Kildare Street, stop 135081","53.3401356511047","-6.25559501489228"
"8220B1351001","Wellington Quay, stop 135101","53.3458641751322","-6.26381729294167"
"8220B1351201","Connolly Station, stop 135121","53.3502180212944","-6.25052670165238"
"8220B1351401","George's Quay, stop 135141","53.34738269539","-6.25331643588362"
"8220B1352701","Custom House Quay, stop 135271","53.3483592044074","-6.25371211126525"
"8220B135301","Leeson St Lower, stop 135301","53.3354983593553","-6.2562497858689"
"8220B1353101","Wilton Terrace, stop 135311","53.3330493209056","-6.25043365506786"
"8220B1353201","Baggot St Lower, stop 135321","53.3364376609954","-6.24858307013004"
"8220B1353301","Dawson Street, stop 135331","53.3401343717174","-6.25858361137307"
"8220B1353501","Eden Quay, stop 135351","53.3477999659089","-6.25849647173377"
"8220B1354001","Heuston Station, stop 135401","53.3458581867817","-6.29393218197987"
"8220B135411","Wilton Terrace, stop 135411","53.332404208867","-6.25241202316956"
"8220B1354201","Heuston Station, stop 135421","53.3461966740882","-6.29246173926997"
"8220B1358201","Mater Hospital, stop 135821","53.3604291327296","-6.26843881916132"
"8220B1358401","D'Olier Street, stop 135841","53.3466729562441","-6.25825702932731"
"8220B136151","Pembroke Street Lwr, stop 136151","53.337175120479","-6.25167634065387"
"8220B136551","Grand Parade, stop 136551","53.3311450829341","-6.25235839578021"
"8220B3551501","Vincent's Hospital, stop 355151","53.3173579970625","-6.21598254819266"
"8220DB000002","Parnell Square West, stop 2","53.3522443611407","-6.26372321891882"
"8220DB000003","Parnell Square West, stop 3","53.3523085514349","-6.26381074216821"
"8220DB000004","Parnell Square West, stop 4","53.3525745131874","-6.26417548603793"
"8220DB000006","Parnell Square West, stop 6","53.352749335707","-6.26445380396429"
"8220DB000007","Parnell Square West, stop 7","53.3528409105808","-6.26457026121744"
"8220DB000008","Parnell Square West, stop 8","53.3532722714846","-6.26518367657395"
"8220DB000010","Parnell Square West, stop 10","53.3533921036497","-6.26538912389949"
"8220DB000011","St Joseph's Parade, stop 11","53.3568152335319","-6.26467919507521"
"8220DB000012","Upper Dorset Street, stop 12","53.3571075162046","-6.26438186733525"
"8220DB000014","Dorset Street Lower, stop 14","53.3585312378782","-6.26277650570866"
"8220DB000015","Innisfallen Parade, stop 15","53.3602667075989","-6.26097804267247"
"8220DB000016","Nephin Road Park, stop 16","53.3663915571432","-6.30561418352733"
"8220DB000017","Drumcondra Rail Stn, stop 17","53.3630783243804","-6.25839928847829"
"8220DB000018","Dargle Road, stop 18","53.3658559259191","-6.2559568206783"
"8220DB000019","Botanic Avenue, stop 19","53.3672348759349","-6.25559994097697"
"8220DB000021","DCU St Patrick's, stop 21","53.3701011992972","-6.25431059904437"
"8220DB000022","Home Farm Road, stop 22","53.3735036097431","-6.25280375269001"
"8220DB000023","Ferguson Road, stop 23","53.3742282800816","-6.25626100416695"
"8220DB000024","Walsh Road, stop 24","53.3751331588865","-6.26037234812314"
"8220DB000025","Rathlin Road, stop 25","53.3758994661498","-6.26361773641705"
"8220DB000027","Ballymun Road, stop 27","53.3794389600131","-6.26658526125999"
"8220DB000028","Hampstead Avenue, stop 28","53.3815786376305","-6.26600227077734"
"8220DB000029","Albert College Park, stop 29","53.3834882529482","-6.26566910125412"
"8220DB000030","Ventry Park, stop 30","53.3703319001951","-6.30460116922909"
"8220DB000031","St Pappin's Road, stop 31","53.3860332259168","-6.26885807727496"
