route_id,agency_id,route_short_name,route_long_name,route_type
"10-345-e20-1","01","345","Limerick Bus Station - Scariff (OMearas Pharmacy)","3"
"10-346-e19-1","01","346","Limerick Bus Station - Whitegate (Clare) (Church)","3"
"10-346-e20-1","01","346","Limerick Bus Station - Whitegate (Clare) (Church)","3"
"10-347-e19-1","01","347","Limerick Bus Station - Abbey Street","3"
"10-347-e20-1","01","347","Limerick Bus Station - Abbey Street","3"
"10-348-e19-1","01","348","Ennis Bus Station - Scariff","3"
"10-348-e20-1","01","348","Ennis Bus Station - Scariff","3"
"10-349-e19-1","01","349","Market Square Gort - Scariff","3"
"10-349-e20-1","01","349","Market Square Gort - Scariff","3"
"10-350-e19-1","01","350","Galway Bus Station - Ennis Bus Station","3"
"10-350-e20-1","01","350","Galway Bus Station - Ennis Bus Station","3"
"10-355-e19-1","01","355","WIT (Main Entrance) - Cahir Castle Street","3"
"10-355-e20-1","01","355","WIT (Main Entrance) - Cahir Castle Street","3"
"10-360-e19-1","01","360","Waterford Bus Station - Tramore (Bus Terminus)","3"
"10-360-e20-1","01","360","Waterford Bus Station - Tramore (Bus Terminus)","3"
"10-362-e19-1","01","362","Waterford Bus Station - Dungarvan (Davitts Quay)","3"
"10-362-e20-1","01","362","Waterford Bus Station - Dungarvan (Davitts Quay)","3"
"10-365-e19-1","01","365","Waterford Bus Station - Thomastown","3"
"10-365-e20-1","01","365","Waterford Bus Station - Thomastown","3"
"10-366-e20-1","01","366","Lismore (O'Dowd's) - Waterford Bus Station","3"
"10-370-e19-1","01","370","Outer Ring Rd (Dunmore Rd Roundabout) - Rosslare Harbour","3"
"10-370-e20-1","01","370","Outer Ring Rd (Dunmore Rd Roundabout) - Rosslare Harbour","3"
"10-371-e19-1","01","371","New Ross (Supervalu The Quay) - Wexford Station","3"
"10-371-e20-1","01","371","New Ross (Supervalu The Quay) - Wexford Station","3"
"10-372-e19-1","01","372","Waterford Bus Station - Wexford Station","3"
"10-372-e20-1","01","372","Waterford Bus Station - Wexford Station","3"
"10-373-e20-1","01","373","New Ross (Supervalu The Quay) - Wexford Station","3"
"10-374-e19-1","01","374","New Ross (Supervalu The Quay) - Kilkenny Station","3"
"10-374-e20-1","01","374","New Ross (Supervalu The Quay) - Kilkenny Station","3"
"10-375-e20-1","01","375","New Ross (Supervalu The Quay) - Enniscorthy","3"
"10-377-e19-1","01","377","Wexford Station - Enniscorthy","3"
"10-377-e20-1","01","377","Wexford Station - Enniscorthy","3"
"10-378-e19-1","01","378","Wexford Station - Churchtown (Wexford)","3"
"10-378-e20-1","01","378","Wexford Station - Churchtown (Wexford)","3"
"10-379-e19-1","01","379","Rosslare Harbour - Ballycanew","3"
"10-379-e20-1","01","379","Rosslare Harbour - Ballycanew","3"
"10-380-e19-1","01","380","Wexford Station - Crossabeg","3"
"10-380-e20-1","01","380","Wexford Station - Crossabeg","3"
"10-381-e20-1","01","381","Wexford Station - Blackhall","3"
"10-382-e19-1","01","382","Adamstown (Supermarket) - Adamstown (Supermarket)","3"
"10-382-e20-1","01","382","Adamstown (Supermarket) - Adamstown (Supermarket)","3"
"10-383-e19-1","01","383","Wexford Station - Kilmore Quay","3"
"10-383-e20-1","01","383","Wexford Station - Kilmore Quay","3"
"10-385-e19-1","01","385","Wexford Station - Rosslare Harbour","3"
"10-385-e20-1","01","385","Wexford Station - Rosslare Harbour","3"
