service_id,date,exception_type
"TA+b0013","20211105","2"
"TA+b0013","20211106","2"
"TA+b0013","20211108","2"
"TA+b0013","20211109","2"
"TA+b0013","20211110","2"
"TA+b0013","20211111","2"
"TA+b0013","20211112","2"
"TA+b0013","20211113","2"
"TA+b0013","20211115","2"
"TA+b0013","20211116","2"
"TA+b0013","20211117","2"
"TA+b0013","20211118","2"
"TA+b0013","20211119","2"
"TA+b0013","20211120","2"
"TA+b0013","20211122","2"
"TA+b0013","20211123","2"
"TA+b0013","20211124","2"
"TA+b0013","20211125","2"
"TA+b0013","20211126","2"
"TA+b0013","20211127","2"
"TA+b0013","20211129","2"
"TA+b0013","20211130","2"
"TA+b0013","20211201","2"
"TA+b0013","20211202","2"
"TA+b0013","20211203","2"
"TA+b0013","20211204","2"
"TA+b0013","20211206","2"
"TA+b0013","20211207","2"
"TA+b0013","20211208","2"
"TA+b0013","20211209","2"
"TA+b0013","20211210","2"
"TA+b0013","20211211","2"
"TA+b0013","20211213","2"
"TA+b0013","20211214","2"
"TA+b0013","20211215","2"
"TA+b0013","20211216","2"
"TA+b0013","20211217","2"
"TA+b0013","20211218","2"
"TA+b0013","20211220","2"
"TA+b0013","20211221","2"
"TA+b0013","20211222","2"
"TA+b0013","20211223","2"
"TA+b0013","20211224","2"
"TA+b0013","20211225","2"
"TA+b0013","20211227","2"
"TA+b0013","20211228","2"
"TA+b0013","20211229","2"
"TA+b0013","20211231","2"
"TA+b0013","20220101","2"
"TA+b0013","20220103","2"
"TA+b0013","20220104","2"
"TA+b0013","20220105","2"
"TA+b0013","20220106","2"
"TA+b0013","20220107","2"
"TA+b0013","20220108","2"
"TA+b0013","20220110","2"
"TA+b0013","20220111","2"
"TA+b0013","20220112","2"
"TA+b0013","20220113","2"
"TA+b0013","20220114","2"
"TA+b0013","20220115","2"
"TA+b0013","20220117","2"
"TA+b0013","20220118","2"
"TA+b0013","20220119","2"
"TA+b0013","20220120","2"
"TA+b0013","20220121","2"
"TA+b0013","20220122","2"
"TA+b0013","20220124","2"
"TA+b0013","20220125","2"
"TA+b0013","20220126","2"
"TA+b0013","20220127","2"
"TA+b0013","20220128","2"
"TA+b0013","20220129","2"
"TA+b0013","20220131","2"
"TA+b0013","20220201","2"
"TA+b0013","20220202","2"
"TA+b0013","20220203","2"
"TA+b0013","20220204","2"
"TA+b0013","20220205","2"
"TA+b0013","20220207","2"
"TA+b0013","20220208","2"
"TA+b0013","20220209","2"
"TA+b0013","20220210","2"
"TA+b0013","20220211","2"
"TA+b0013","20220212","2"
"TA+b0013","20220214","2"
"TA+b0013","20220215","2"
"TA+b0013","20220216","2"
"TA+b0013","20220217","2"
"TA+b0013","20220218","2"
"TA+b0013","20220219","2"
"TA+b0013","20220221","2"
"TA+b0013","20220222","2"
"TA+b0013","20220223","2"
"TA+b0013","20220224","2"
"TA+b0013","20220225","2"
"TA+b0013","20220226","2"
"TA+b0017","20211008","2"
"TA+b0017","20211009","2"
"TA+b0017","20211011","2"
"TA+b0017","20211012","2"
"TA+b0017","20211013","2"
"TA+b0017","20211014","2"
"TA+b0017","20211015","2"
"TA+b0017","20211016","2"
"TA+b0017","20211018","2"
"TA+b0017","20211019","2"
"TA+b0017","20211020","2"
"TA+b0017","20211021","2"
"TA+b0017","20211022","2"
"TA+b0017","20211023","2"
"TA+b0017","20211025","2"
"TA+b0017","20211026","2"
"TA+b0017","20211027","2"
"TA+b0017","20211028","2"
"TA+b0017","20211029","2"
"TA+b0017","20211030","2"
"TA+b0017","20211101","2"
"TA+b0017","20211102","2"
"TA+b0017","20211103","2"
"TA+b0017","20211104","2"
"TA+b0017","20211105","2"
"TA+b0017","20211106","2"
"TA+b0017","20211108","2"
"TA+b0017","20211109","2"
"TA+b0017","20211110","2"
"TA+b0017","20211111","2"
"TA+b0017","20211112","2"
"TA+b0017","20211113","2"
"TA+b0017","20211115","2"
"TA+b0017","20211116","2"
"TA+b0017","20211117","2"
"TA+b0017","20211118","2"
"TA+b0017","20211119","2"
"TA+b0017","20211120","2"
"TA+b0017","20211122","2"
"TA+b0017","20211123","2"
"TA+b0017","20211124","2"
"TA+b0017","20211125","2"
"TA+b0017","20211126","2"
"TA+b0017","20211127","2"
"TA+b0017","20211129","2"
"TA+b0017","20211130","2"
"TA+b0017","20211201","2"
"TA+b0017","20211202","2"
"TA+b0017","20211203","2"
"TA+b0017","20211204","2"
"TA+b0017","20211206","2"
"TA+b0017","20211207","2"
"TA+b0017","20211208","2"
"TA+b0017","20211209","2"
"TA+b0017","20211210","2"
"TA+b0017","20211211","2"
"TA+b0017","20211224","2"
"TA+b0017","20211225","2"
"TA+b0017","20211227","2"
"TA+b0017","20211228","2"
"TA+b0017","20211229","2"
"TA+b0017","20211230","2"
"TA+b0017","20211231","2"
"TA+b0017","20220101","2"
"TA+b0017","20220103","2"
"TA+b0017","20220317","2"
"TA+b0017","20220418","2"
"TA+b0017","20220502","2"
"TA+b0017","20220606","2"
"TA+b0017","20220801","2"
"TA+b001e","20211008","2"
"TA+b001e","20211009","2"
"TA+b001e","20211011","2"
"TA+b001e","20211012","2"
"TA+b001e","20211013","2"
"TA+b001e","20211014","2"
"TA+b001e","20211015","2"
"TA+b001e","20211016","2"
"TA+b001e","20211018","2"
"TA+b001e","20211019","2"
"TA+b001e","20211020","2"
"TA+b001e","20211021","2"
"TA+b001e","20211022","2"
"TA+b001e","20211023","2"
"TA+b001e","20211025","2"
"TA+b001e","20211026","2"
"TA+b001e","20211027","2"
"TA+b001e","20211028","2"
"TA+b001e","20211029","2"
"TA+b001e","20211030","2"
"TA+b001e","20211101","2"
"TA+b001e","20211102","2"
"TA+b001e","20211103","2"
"TA+b001e","20211104","2"
"TA+b001e","20211105","2"
"TA+b001e","20211106","2"
"TA+b001e","20211108","2"
"TA+b001e","20211109","2"
"TA+b001e","20211110","2"
"TA+b001e","20211111","2"
"TA+b001e","20211112","2"
"TA+b001e","20211113","2"
"TA+b001e","20211115","2"
"TA+b001e","20211116","2"
"TA+b001e","20211117","2"
"TA+b001e","20211118","2"
"TA+b001e","20211119","2"
"TA+b001e","20211120","2"
"TA+b001e","20211122","2"
"TA+b001e","20211123","2"
"TA+b001e","20211124","2"
"TA+b001e","20211125","2"
"TA+b001e","20211126","2"
"TA+b001e","20211127","2"
"TA+b001e","20211129","2"
"TA+b001e","20211130","2"
"TA+b001e","20211201","2"
"TA+b001e","20211202","2"
"TA+b001e","20211203","2"
"TA+b001e","20211204","2"
"TA+b001e","20211206","2"
"TA+b001e","20211207","2"
"TA+b001e","20211208","2"
"TA+b001e","20211209","2"
"TA+b001e","20211210","2"
"TA+b001e","20211211","2"
"TA+b001e","20211224","2"
"TA+b001e","20211225","2"
"TA+b001e","20211227","2"
"TA+b001e","20220101","2"
"TA+b001e","20220103","2"
"TA+b001e","20220317","2"
"TA+b001e","20220418","2"
"TA+b001e","20220502","2"
"TA+b001e","20220606","2"
"TA+b001e","20220801","2"
"TA+b001f","20211008","2"
"TA+b001f","20211011","2"
"TA+b001f","20211012","2"
"TA+b001f","20211013","2"
"TA+b001f","20211014","2"
"TA+b001f","20211015","2"
"TA+b001f","20211018","2"
"TA+b001f","20211019","2"
"TA+b001f","20211020","2"
"TA+b001f","20211021","2"
"TA+b001f","20211022","2"
"TA+b001f","20211025","2"
"TA+b001f","20211026","2"
"TA+b001f","20211027","2"
"TA+b001f","20211028","2"
"TA+b001f","20211029","2"
"TA+b001f","20211101","2"
"TA+b001f","20211102","2"
"TA+b001f","20211103","2"
"TA+b001f","20211104","2"
"TA+b001f","20211105","2"
"TA+b001f","20211108","2"
"TA+b001f","20211109","2"
"TA+b001f","20211110","2"
"TA+b001f","20211111","2"
"TA+b001f","20211112","2"
"TA+b001f","20211115","2"
"TA+b001f","20211116","2"
"TA+b001f","20211117","2"
"TA+b001f","20211118","2"
"TA+b001f","20211119","2"
"TA+b001f","20211122","2"
"TA+b001f","20211123","2"
"TA+b001f","20211124","2"
"TA+b001f","20211125","2"
"TA+b001f","20211126","2"
"TA+b001f","20211129","2"
"TA+b001f","20211130","2"
"TA+b001f","20211201","2"
"TA+b001f","20211202","2"
"TA+b001f","20211203","2"
"TA+b001f","20211206","2"
"TA+b001f","20211207","2"
"TA+b001f","20211208","2"
"TA+b001f","20211209","2"
"TA+b001f","20211210","2"
"TA+b001f","20211224","2"
"TA+b001f","20211228","2"
"TA+b001f","20211229","2"
"TA+b001f","20211230","2"
"TA+b001f","20211231","2"
"TA+b001l","20211008","2"
"TA+b001l","20211009","2"
"TA+b001l","20211011","2"
"TA+b001l","20211012","2"
"TA+b001l","20211013","2"
"TA+b001l","20211014","2"
"TA+b001l","20211015","2"
"TA+b001l","20211016","2"
"TA+b001l","20211018","2"
"TA+b001l","20211019","2"
"TA+b001l","20211020","2"
"TA+b001l","20211021","2"
"TA+b001l","20211022","2"
"TA+b001l","20211023","2"
"TA+b001l","20211025","2"
"TA+b001l","20211026","2"
"TA+b001l","20211027","2"
"TA+b001l","20211028","2"
"TA+b001l","20211029","2"
"TA+b001l","20211030","2"
"TA+b001l","20211101","2"
"TA+b001l","20211102","2"
"TA+b001l","20211103","2"
"TA+b001l","20211104","2"
"TA+b001l","20211105","2"
"TA+b001l","20211106","2"
"TA+b001l","20211108","2"
"TA+b001l","20211109","2"
"TA+b001l","20211110","2"
"TA+b001l","20211111","2"
"TA+b001l","20211112","2"
"TA+b001l","20211113","2"
"TA+b001l","20211115","2"
"TA+b001l","20211116","2"
"TA+b001l","20211117","2"
"TA+b001l","20211118","2"
"TA+b001l","20211119","2"
"TA+b001l","20211120","2"
"TA+b001l","20211122","2"
"TA+b001l","20211123","2"
"TA+b001l","20211124","2"
"TA+b001l","20211125","2"
"TA+b001l","20211126","2"
"TA+b001l","20211127","2"
"TA+b001l","20211129","2"
"TA+b001l","20211130","2"
"TA+b001l","20211201","2"
"TA+b001l","20211202","2"
"TA+b001l","20211203","2"
"TA+b001l","20211204","2"
"TA+b001l","20211206","2"
"TA+b001l","20211207","2"
"TA+b001l","20211208","2"
"TA+b001l","20211209","2"
"TA+b001l","20211210","2"
"TA+b001l","20211211","2"
"TA+b001l","20211213","2"
"TA+b001l","20211214","2"
"TA+b001l","20211215","2"
"TA+b001l","20211216","2"
"TA+b001l","20211224","2"
"TA+b001l","20211225","2"
"TA+b001l","20211227","2"
"TA+b001l","20211231","2"
"TA+b001l","20220101","2"
"TA+b001l","20220317","2"
"TA+b001l","20220418","2"
"TA+b001l","20220502","2"
"TA+b001l","20220606","2"
"TA+b001l","20220801","2"
"TA+b001t","20211011","2"
"TA+b001t","20211012","2"
"TA+b001t","20211013","2"
"TA+b001t","20211014","2"
"TA+b001t","20211018","2"
"TA+b001t","20211019","2"
"TA+b001t","20211020","2"
"TA+b001t","20211021","2"
"TA+b001t","20211025","2"
"TA+b001t","20211026","2"
"TA+b001t","20211027","2"
"TA+b001t","20211028","2"
"TA+b001t","20211101","2"
"TA+b001t","20211102","2"
"TA+b001t","20211103","2"
"TA+b001t","20211104","2"
"TA+b001t","20211108","2"
"TA+b001t","20211109","2"
"TA+b001t","20211110","2"
"TA+b001t","20211111","2"
"TA+b001t","20211115","2"
"TA+b001t","20211116","2"
"TA+b001t","20211117","2"
"TA+b001t","20211118","2"
"TA+b001t","20211122","2"
"TA+b001t","20211123","2"
"TA+b001t","20211124","2"
"TA+b001t","20211125","2"
"TA+b001t","20211129","2"
"TA+b001t","20211130","2"
"TA+b001t","20211201","2"
"TA+b001t","20211202","2"
"TA+b001t","20211206","2"
"TA+b001t","20211207","2"
"TA+b001t","20211208","2"
"TA+b001t","20211209","2"
"TA+b001t","20211227","2"
"TA+b001t","20211228","2"
"TA+b001t","20211229","2"
"TA+b001t","20211230","2"
"TA+b001t","20220103","2"
"TA+b001t","20220317","2"
"TA+b001t","20220418","2"
"TA+b001t","20220502","2"
"TA+b001t","20220606","2"
"TA+b001t","20220801","2"
"TA+b001u","20211008","2"
"TA+b001u","20211011","2"
"TA+b001u","20211012","2"
"TA+b001u","20211013","2"
"TA+b001u","20211014","2"
"TA+b001u","20211015","2"
"TA+b001u","20211018","2"
"TA+b001u","20211019","2"
"TA+b001u","20211020","2"
"TA+b001u","20211021","2"
"TA+b001u","20211022","2"
"TA+b001u","20211025","2"
"TA+b001u","20211026","2"
"TA+b001u","20211027","2"
"TA+b001u","20211028","2"
"TA+b001u","20211029","2"
"TA+b001u","20211101","2"
"TA+b001u","20211102","2"
"TA+b001u","20211103","2"
"TA+b001u","20211104","2"
"TA+b001u","20211105","2"
"TA+b001u","20211108","2"
"TA+b001u","20211109","2"
"TA+b001u","20211110","2"
"TA+b001u","20211111","2"
"TA+b001u","20211112","2"
"TA+b001u","20211115","2"
"TA+b001u","20211116","2"
"TA+b001u","20211117","2"
"TA+b001u","20211118","2"
"TA+b001u","20211119","2"
"TA+b001u","20211122","2"
"TA+b001u","20211123","2"
"TA+b001u","20211124","2"
"TA+b001u","20211125","2"
"TA+b001u","20211126","2"
"TA+b001u","20211129","2"
"TA+b001u","20211130","2"
"TA+b001u","20211201","2"
"TA+b001u","20211202","2"
"TA+b001u","20211203","2"
"TA+b001u","20211206","2"
"TA+b001u","20211207","2"
"TA+b001u","20211208","2"
"TA+b001u","20211209","2"
"TA+b001u","20211210","2"
"TA+b001u","20211220","2"
"TA+b001u","20211224","2"
"TA+b001u","20211227","2"
"TA+b001u","20211228","2"
